linearity,leniency,index,performance
12,6,0,0.0
12,6,1,0.0
12,6,2,0.0
17,5,0,0.0
17,5,1,0.0
17,5,2,0.0
1,7,0,0.0
1,7,1,0.0
1,7,2,0.0
20,6,0,0.0
20,6,1,0.0
20,6,2,0.0
14,0,0,0.0
14,0,1,0.0
14,0,2,0.0
2,9,0,0.0
2,9,1,0.0
2,9,2,0.0
7,10,0,0.0
7,10,1,0.0
7,10,2,0.0
4,20,0,0.0
4,20,1,0.0
4,20,2,0.6785714285714286
15,12,0,0.0
15,12,1,0.0
15,12,2,0.0
12,9,0,0.0
12,9,1,0.0
12,9,2,0.0
18,7,0,0.0
18,7,1,0.0
18,7,2,0.0
9,13,0,0.0
9,13,1,0.0
9,13,2,0.0
18,8,0,0.0
18,8,1,0.0
18,8,2,0.0
16,8,0,0.0
16,8,1,0.0
16,8,2,0.0
13,8,0,0.0
13,8,1,0.0
13,8,2,0.0
18,0,0,0.0
18,0,1,0.0
18,0,2,0.9642857142857143
14,1,0,0.0
14,1,1,0.0
14,1,2,0.0
13,9,0,0.0
13,9,1,0.0
13,9,2,0.0
15,6,0,0.0
15,6,1,0.0
15,6,2,0.9642857142857143
4,18,0,0.0
4,18,1,0.0
4,18,2,0.0
15,2,0,0.0
15,2,1,0.0
15,2,2,0.9642857142857143
14,5,0,0.0
14,5,1,0.0
14,5,2,0.0
17,1,0,0.0
17,1,1,0.0
17,1,2,0.9642857142857143
8,14,0,0.0
8,14,1,0.0
8,14,2,0.7142857142857143
0,11,0,0.0
0,11,1,0.0
0,11,2,0.0
18,9,0,0.0
18,9,1,0.0
18,9,2,0.0
10,11,0,0.0
10,11,1,0.0
10,11,2,0.0
13,6,0,0.0
13,6,1,0.0
13,6,2,0.0
15,9,0,0.0
15,9,1,0.0
15,9,2,0.0
5,20,0,0.0
5,20,1,0.0
5,20,2,0.6428571428571428
15,8,0,0.0
15,8,1,0.0
15,8,2,0.0
6,14,0,0.0
6,14,1,0.0
6,14,2,0.5714285714285714
4,15,0,0.0
4,15,1,0.0
4,15,2,0.75
9,12,0,0.0
9,12,1,0.0
9,12,2,0.5714285714285714
13,5,0,0.0
13,5,1,0.0
13,5,2,0.0
15,15,0,0.0
15,15,1,0.0
15,15,2,0.0
13,16,0,0.0
13,16,1,0.0
13,16,2,0.3214285714285714
4,22,0,0.0
4,22,1,0.0
4,22,2,0.0
16,4,0,0.0
16,4,1,0.0
16,4,2,0.9642857142857143
2,12,0,0.0
2,12,1,0.0
2,12,2,0.0
17,9,0,0.0
17,9,1,0.0
17,9,2,0.0
11,11,0,0.0
11,11,1,0.0
11,11,2,0.0
0,12,0,0.0
0,12,1,0.0
0,12,2,0.0
5,18,0,0.0
5,18,1,0.0
5,18,2,0.3214285714285714
20,8,0,0.0
20,8,1,0.0
20,8,2,0.9642857142857143
7,9,0,0.0
7,9,1,0.0
7,9,2,0.0
6,16,0,0.0
6,16,1,0.0
6,16,2,0.0
4,14,0,0.0
4,14,1,0.0
4,14,2,0.0
2,16,0,0.0
2,16,1,0.0
2,16,2,0.5714285714285714
10,10,0,0.0
10,10,1,0.0
10,10,2,0.0
16,2,0,0.0
16,2,1,0.0
16,2,2,0.9642857142857143
8,15,0,0.0
8,15,1,0.0
8,15,2,0.5
13,11,0,0.0
13,11,1,0.0
13,11,2,0.9642857142857143
19,6,0,0.0
19,6,1,0.0
19,6,2,0.9642857142857143
13,3,0,0.0
13,3,1,0.0
13,3,2,0.0
16,0,0,0.0
16,0,1,0.0
16,0,2,0.9642857142857143
13,12,0,0.0
13,12,1,0.0
13,12,2,0.0
10,9,0,0.0
10,9,1,0.0
10,9,2,0.0
12,12,0,0.0
12,12,1,0.0
12,12,2,0.0
16,9,0,0.0
16,9,1,0.0
16,9,2,0.0
19,5,0,0.0
19,5,1,0.0
19,5,2,0.9642857142857143
5,17,0,0.0
5,17,1,0.0
5,17,2,0.5714285714285714
16,5,0,0.0
16,5,1,0.0
16,5,2,0.9642857142857143
7,16,0,0.0
7,16,1,0.0
7,16,2,0.0
7,20,0,0.0
7,20,1,0.0
7,20,2,0.5
12,16,0,0.0
12,16,1,0.0
12,16,2,0.0
18,15,0,0.0
18,15,1,0.0
18,15,2,0.0
10,13,0,0.0
10,13,1,0.0
10,13,2,0.1785714285714286
8,13,0,0.0
8,13,1,0.0
8,13,2,0.2142857142857143
17,6,0,0.0
17,6,1,0.0
17,6,2,0.0
16,12,0,0.0
16,12,1,0.0
16,12,2,0.0
12,14,0,0.0
12,14,1,0.0
12,14,2,0.3214285714285714
21,5,0,0.0
21,5,1,0.0
21,5,2,0.9642857142857143
17,3,0,0.0
17,3,1,0.0
17,3,2,0.0
18,10,0,0.0
18,10,1,0.0
18,10,2,0.0
12,10,0,0.0
12,10,1,0.0
12,10,2,0.0
15,11,0,0.0
15,11,1,0.0
15,11,2,0.0
18,1,0,0.0
18,1,1,0.0
18,1,2,0.9642857142857143
19,8,0,0.0
19,8,1,0.0
19,8,2,0.0
7,14,0,0.0
7,14,1,0.0
7,14,2,0.5
17,12,0,0.0
17,12,1,0.0
17,12,2,0.0
14,12,0,0.0
14,12,1,0.0
14,12,2,0.0
6,15,0,0.0
6,15,1,0.0
6,15,2,0.5714285714285714
3,18,0,0.0
3,18,1,0.0
3,18,2,0.25
3,16,0,0.0
3,16,1,0.0
3,16,2,0.4285714285714286
9,18,0,0.0
9,18,1,0.0
9,18,2,0.0
17,11,0,0.0
17,11,1,0.0
17,11,2,0.1428571428571429
16,6,0,0.0
16,6,1,0.0
16,6,2,0.0
9,15,0,0.0
9,15,1,0.0
9,15,2,0.6071428571428572
18,2,0,0.0
18,2,1,0.0
18,2,2,0.9642857142857143
10,15,0,0.0
10,15,1,0.0
10,15,2,0.5714285714285714
17,4,0,0.0
17,4,1,0.0
17,4,2,0.0
4,19,0,0.0
4,19,1,0.0
4,19,2,0.6428571428571428
13,7,0,0.0
13,7,1,0.0
13,7,2,0.0
18,12,0,0.0
18,12,1,0.0
18,12,2,0.0
11,12,0,0.0
11,12,1,0.0
11,12,2,0.4642857142857143
21,6,0,0.0
21,6,1,0.0
21,6,2,0.0
19,7,0,0.0
19,7,1,0.0
19,7,2,0.0
3,15,0,0.0
3,15,1,0.0
3,15,2,0.2857142857142857
3,17,0,0.0
3,17,1,0.0
3,17,2,0.6785714285714286
9,11,0,0.0
9,11,1,0.0
9,11,2,0.0
16,10,0,0.0
16,10,1,0.0
16,10,2,0.0
3,13,0,0.0
3,13,1,0.0
3,13,2,0.0
18,4,0,0.0
18,4,1,0.0
18,4,2,0.9642857142857143
9,16,0,0.0
9,16,1,0.0
9,16,2,0.0
17,10,0,0.0
17,10,1,0.0
17,10,2,0.0
11,10,0,0.0
11,10,1,0.0
11,10,2,0.0
0,10,0,0.0
0,10,1,0.0
0,10,2,0.0
6,17,0,0.0
6,17,1,0.0
6,17,2,0.75
21,12,0,0.0
21,12,1,0.0
21,12,2,0.0
5,15,0,0.0
5,15,1,0.0
5,15,2,0.5714285714285714
2,21,0,0.0
2,21,1,0.0
2,21,2,0.5714285714285714
10,16,0,0.0
10,16,1,0.0
10,16,2,0.3214285714285714
3,20,0,0.0
3,20,1,0.0
3,20,2,0.6785714285714286
15,10,0,0.0
15,10,1,0.0
15,10,2,0.0
6,18,0,0.0
6,18,1,0.0
6,18,2,0.3214285714285714
3,21,0,0.0
3,21,1,0.0
3,21,2,0.6785714285714286
9,14,0,0.0
9,14,1,0.0
9,14,2,0.9642857142857143
1,11,0,0.0
1,11,1,0.0
1,11,2,0.0
22,10,0,0.0
22,10,1,0.0
22,10,2,0.0
20,11,0,0.0
20,11,1,0.0
20,11,2,0.0
11,17,0,0.0
11,17,1,0.0
11,17,2,0.3214285714285714
18,5,0,0.0
18,5,1,0.0
18,5,2,0.9642857142857143
19,12,0,0.0
19,12,1,0.0
19,12,2,0.0
11,16,0,0.0
11,16,1,0.0
11,16,2,0.2857142857142857
16,3,0,0.0
16,3,1,0.0
16,3,2,0.0
14,16,0,0.0
14,16,1,0.0
14,16,2,0.25
20,10,0,0.0
20,10,1,0.0
20,10,2,0.0
8,16,0,0.0
8,16,1,0.0
8,16,2,0.3214285714285714
1,9,0,0.0
1,9,1,0.0
1,9,2,0.0
13,13,0,0.0
13,13,1,0.0
13,13,2,0.9642857142857143
14,14,0,0.0
14,14,1,0.0
14,14,2,0.1071428571428571
11,14,0,0.0
11,14,1,0.0
11,14,2,0.5714285714285714
8,19,0,0.0
8,19,1,0.0
8,19,2,0.75
5,19,0,0.0
5,19,1,0.0
5,19,2,0.25
14,10,0,0.0
14,10,1,0.0
14,10,2,0.0
16,13,0,0.0
16,13,1,0.0
16,13,2,0.0
23,9,0,0.0
23,9,1,0.0
23,9,2,0.0
8,17,0,0.0
8,17,1,0.0
8,17,2,0.3214285714285714
19,13,0,0.0
19,13,1,0.0
19,13,2,0.0
14,15,0,0.0
14,15,1,0.0
14,15,2,0.1785714285714286
22,6,0,0.0
22,6,1,0.0
22,6,2,0.9642857142857143
2,15,0,0.0
2,15,1,0.0
2,15,2,0.7142857142857143
18,13,0,0.0
18,13,1,0.0
18,13,2,0.3928571428571429
15,13,0,0.0
15,13,1,0.0
15,13,2,0.0
21,7,0,0.0
21,7,1,0.0
21,7,2,0.9642857142857143
11,13,0,0.0
11,13,1,0.0
11,13,2,0.5714285714285714
8,18,0,0.0
8,18,1,0.0
8,18,2,0.75
21,9,0,0.0
21,9,1,0.0
21,9,2,0.0
17,7,0,0.0
17,7,1,0.0
17,7,2,0.0
17,14,0,0.0
17,14,1,0.0
17,14,2,0.1071428571428571
19,11,0,0.0
19,11,1,0.0
19,11,2,0.0
6,19,0,0.0
6,19,1,0.0
6,19,2,0.7142857142857143
11,15,0,0.0
11,15,1,0.0
11,15,2,0.2857142857142857
1,13,0,0.0
1,13,1,0.0
1,13,2,0.4285714285714286
1,18,0,0.0
1,18,1,0.0
1,18,2,0.5714285714285714
10,14,0,0.0
10,14,1,0.0
10,14,2,0.1785714285714286
22,11,0,0.0
22,11,1,0.0
22,11,2,0.0
20,0,0,0.0
20,0,1,0.0
20,0,2,0.9642857142857143
23,10,0,0.0
23,10,1,0.0
23,10,2,0.4642857142857143
20,2,0,0.0
20,2,1,0.0
20,2,2,0.9642857142857143
19,9,0,0.0
19,9,1,0.0
19,9,2,0.0
0,14,0,0.0
0,14,1,0.0
0,14,2,0.3214285714285714
20,3,0,0.0
20,3,1,0.0
20,3,2,0.9642857142857143
2,17,0,0.0
2,17,1,0.0
2,17,2,0.2857142857142857
21,8,0,0.0
21,8,1,0.0
21,8,2,0.9642857142857143
15,14,0,0.0
15,14,1,0.0
15,14,2,0.0
18,11,0,0.0
18,11,1,0.0
18,11,2,0.0
1,17,0,0.0
1,17,1,0.0
1,17,2,0.0714285714285714
3,19,0,0.0
3,19,1,0.0
3,19,2,0.7142857142857143
2,22,0,0.0
2,22,1,0.0
2,22,2,0.6785714285714286
6,20,0,0.0
6,20,1,0.0
6,20,2,0.5714285714285714
14,13,0,0.0
14,13,1,0.0
14,13,2,0.0
12,11,0,0.0
12,11,1,0.0
12,11,2,0.0
19,3,0,0.0
19,3,1,0.0
19,3,2,0.9642857142857143
12,13,0,0.0
12,13,1,0.0
12,13,2,0.9642857142857143
12,15,0,0.0
12,15,1,0.0
12,15,2,0.2142857142857143
1,10,0,0.0
1,10,1,0.0
1,10,2,0.4285714285714286
7,18,0,0.0
7,18,1,0.0
7,18,2,0.5714285714285714
1,12,0,0.0
1,12,1,0.0
1,12,2,0.0
2,19,0,0.0
2,19,1,0.0
2,19,2,0.6785714285714286
20,9,0,0.0
20,9,1,0.0
20,9,2,0.9642857142857143
2,18,0,0.0
2,18,1,0.0
2,18,2,0.1428571428571429
0,15,0,0.0
0,15,1,0.0
0,15,2,0.25
14,11,0,0.0
14,11,1,0.0
14,11,2,0.0
8,20,0,0.3571428571428571
8,20,1,0.3571428571428571
8,20,2,0.5
13,15,0,0.0
13,15,1,0.0
13,15,2,0.0
4,21,0,0.0
4,21,1,0.0
4,21,2,0.3928571428571429
20,12,0,0.0
20,12,1,0.0
20,12,2,0.2857142857142857
9,17,0,0.0
9,17,1,0.0
9,17,2,0.75
1,19,0,0.0
1,19,1,0.0
1,19,2,0.7142857142857143
17,13,0,0.0
17,13,1,0.0
17,13,2,0.3571428571428571
19,10,0,0.0
19,10,1,0.0
19,10,2,0.0
10,17,0,0.0
10,17,1,0.0
10,17,2,0.3214285714285714
21,2,0,0.0
21,2,1,0.0
21,2,2,0.9642857142857143
20,7,0,0.0
20,7,1,0.0
20,7,2,0.9642857142857143
10,18,0,0.0
10,18,1,0.0
10,18,2,0.0
18,3,0,0.0
18,3,1,0.0
18,3,2,0.0
2,14,0,0.0
2,14,1,0.0
2,14,2,0.0
18,14,0,0.0
18,14,1,0.0
18,14,2,0.0
14,17,0,0.0
14,17,1,0.0
14,17,2,0.1428571428571429
7,17,0,0.0
7,17,1,0.0
7,17,2,0.5
23,8,0,0.9642857142857143
23,8,1,0.9642857142857143
23,8,2,0.9642857142857143
22,9,0,0.0
22,9,1,0.0
22,9,2,0.0
20,5,0,0.0
20,5,1,0.0
