density,leniency,index,performance
12,7,0,0.0
12,7,1,0.0
12,7,2,0.5
40,0,0,0.0
40,0,1,0.0
40,0,2,0.5
20,5,0,0.0
20,5,1,0.0
20,5,2,0.75
37,2,0,0.0
37,2,1,0.0
37,2,2,0.75
39,0,0,0.0
39,0,1,0.0
39,0,2,0.6428571428571428
34,6,0,0.0
34,6,1,0.0
34,6,2,0.6785714285714286
6,0,0,0.0
6,0,1,0.0
6,0,2,0.5714285714285714
30,0,0,0.0
30,0,1,0.0
30,0,2,0.7857142857142857
14,7,0,0.0
14,7,1,0.0
14,7,2,0.7142857142857143
36,8,0,0.0
36,8,1,0.0
36,8,2,0.75
6,6,0,0.0
6,6,1,0.0
6,6,2,0.6785714285714286
23,0,0,0.0
23,0,1,0.0
23,0,2,0.4285714285714286
19,6,0,0.0
19,6,1,0.0
19,6,2,0.6785714285714286
18,8,0,0.0
18,8,1,0.0
18,8,2,0.7142857142857143
36,2,0,0.0
36,2,1,0.0
36,2,2,0.5357142857142857
24,8,0,0.0
24,8,1,0.0
24,8,2,0.5
7,1,0,0.0
7,1,1,0.0
7,1,2,0.8214285714285714
9,8,0,0.0
9,8,1,0.0
9,8,2,0.5714285714285714
34,3,0,0.0
34,3,1,0.0
34,3,2,0.8214285714285714
7,6,0,0.0
7,6,1,0.0
7,6,2,0.6785714285714286
36,1,0,0.0
36,1,1,0.0
36,1,2,0.6428571428571428
34,1,0,0.0
34,1,1,0.0
34,1,2,0.6428571428571428
15,5,0,0.0
15,5,1,0.0
15,5,2,0.6785714285714286
17,5,0,0.0
17,5,1,0.0
17,5,2,0.4642857142857143
7,8,0,0.0
7,8,1,0.0
7,8,2,0.5714285714285714
21,8,0,0.0
21,8,1,0.0
21,8,2,0.7857142857142857
26,0,0,0.0
26,0,1,0.0
26,0,2,0.7857142857142857
30,7,0,0.0
30,7,1,0.0
30,7,2,0.7142857142857143
29,5,0,0.0
29,5,1,0.0
29,5,2,0.3571428571428571
29,7,0,0.0
29,7,1,0.0
29,7,2,0.5714285714285714
34,8,0,0.0
34,8,1,0.0
34,8,2,0.7142857142857143
35,7,0,0.0
35,7,1,0.0
35,7,2,0.0
13,6,0,0.0
