Density,leniency,index,performance
11,7,2,4.0
9,8,0,1.0
9,8,1,1.0
9,8,2,6.478947368421053
15,0,0,0.0
15,0,1,0.0
15,0,2,4.478947368421053
12,7,0,1.0
12,7,1,1.0
12,7,2,6.739473684210527
5,17,0,1.0
5,17,1,1.0
5,17,2,1.5973684210526315
6,14,0,2.0
6,14,1,2.0
6,14,2,8.242105263157894
5,15,0,1.0
5,15,1,1.0
5,15,2,4.38421052631579
5,16,0,0.0
5,16,1,0.0
5,16,2,4.964473684210526
5,11,0,0.43157894736842095
5,11,1,0.43157894736842095
5,11,2,4.242105263157895
6,9,0,0.0
6,9,1,0.0
6,9,2,4.0
9,10,0,2.0
9,10,1,2.0
9,10,2,5.463157894736842
6,15,0,1.0
6,15,1,1.0
6,15,2,7.135526315789473
10,8,0,1.0
10,8,1,1.0
10,8,2,5.1
8,11,0,2.0
8,11,1,2.0
8,11,2,8.589473684210526
7,14,0,2.0
7,14,1,2.0
7,14,2,5.810526315789474
6,17,0,2.6526315789473682
6,17,1,2.6526315789473682
6,17,2,7.703947368421052
11,8,0,2.0
11,8,1,2.0
11,8,2,4.463157894736842
0,16,0,2.0
0,16,1,2.0
0,16,2,6.9526315789473685
7,13,0,2.0
7,13,1,2.0
7,13,2,4.2894736842105265
4,16,0,0.2657894736842106
4,16,1,0.2657894736842106
4,16,2,3.265789473684211
1,16,0,0.0
1,16,1,0.0
1,16,2,5.0
6,13,0,2.0
6,13,1,2.0
6,13,2,7.557894736842106
5,14,0,1.4978947368421052
5,14,1,1.4978947368421052
5,14,2,5.971578947368421
9,9,0,2.0
9,9,1,2.0
9,9,2,5.526315789473684
3,18,0,0.0
3,18,1,0.0
3,18,2,2.0
15,2,0,0.0
15,2,1,0.0
15,2,2,5.478947368421053
8,13,0,2.0
8,13,1,2.0
8,13,2,5.365263157894737
1,17,0,2.0
1,17,1,2.0
1,17,2,6.0
8,12,0,2.0
8,12,1,2.0
8,12,2,4.557894736842106
2,17,0,0.0
2,17,1,0.0
2,17,2,6.0
9,11,0,2.0
9,11,1,2.0
9,11,2,6.9526315789473685
10,9,0,2.0
10,9,1,2.0
10,9,2,6.7631578947368425
15,1,0,0.0
15,1,1,0.0
15,1,2,5.478947368421053
13,5,0,0.3960526315789473
13,5,1,0.3960526315789473
13,5,2,5.739473684210527
6,16,0,1.0
6,16,1,1.0
6,16,2,6.0
7,15,0,2.0
7,15,1,2.0
7,15,2,5.360526315789474
16,1,0,0.0
16,1,1,0.0
16,1,2,5.715789473684211
2,18,0,0.0
2,18,1,0.0
2,18,2,6.0
14,4,0,0.0
14,4,1,0.0
14,4,2,6.703947368421052
10,10,0,2.0
10,10,1,2.0
10,10,2,5.242105263157895
9,12,0,2.0
9,12,1,2.0
9,12,2,4.242105263157895
6,18,0,2.0
6,18,1,2.0
6,18,2,6.206578947368421
7,16,0,2.7726315789473683
