linearity,leniency,index,performance
9,11,1,4.571428571428571
9,11,2,6.75
8,15,0,5.0
8,15,1,11.0
8,15,2,13.0
18,0,0,6.0
18,0,1,6.857142857142857
18,0,2,8.0
14,11,0,3.0
14,11,1,8.0
14,11,2,3.9642857142857144
19,1,0,6.964285714285714
19,12,0,7.0
19,12,1,7.0
0,12,0,4.0
0,12,1,4.0
14,6,0,3.0
14,6,1,5.0
14,6,2,6.857142857142857
8,14,0,3.0
8,14,1,6.0
11,11,0,8.0
16,5,0,2.0
16,5,1,6.857142857142857
15,10,0,10.0
17,4,0,2.9642857142857144
17,4,1,4.0
7,16,0,3.0
7,16,1,11.0
4,16,0,4.0
12,12,0,4.0
12,12,1,6.0
19,2,0,2.9642857142857144
19,4,0,5.0
19,4,1,5.0
9,16,0,4.0
9,16,1,5.0
18,8,0,6.0
18,8,1,9.0
9,15,0,6.0
4,15,0,3.0
4,15,1,4.0
19,5,0,7.0
14,9,0,6.0
19,7,0,2.0
18,6,0,6.0
7,13,0,4.0
7,13,1,11.0
20,4,0,4.857142857142857
22,1,0,8.964285714285714
17,0,0,0.0
13,12,0,5.964285714285714
20,1,0,7.964285714285714
18,11,0,6.964285714285714
5,14,0,5.392857142857143
7,14,0,4.0
